id	down_in_station_id	down_out_station_id	length	line_id	down_in_station_name	down_out_station_name
1	1	2	71000	1	简阳南	资阳北
2	2	3	55000	1	资阳北	隆昌北
3	3	4	44000	1	隆昌北	大足南
4	4	5	52000	1	大足南	璧山
5	5	6	32000	1	璧山	重庆北
6	7	8	8600	2	尖顶坡	赖家桥
7	8	9	12800	2	赖家桥	沙坪坝
8	9	10	4800	2	沙坪坝	石桥铺
9	10	11	3500	2	石桥铺	大坪
10	11	12	3400	2	大坪	两路口
11	12	13	2400	2	两路口	较场口
12	13	14	1200	2	较场口	小什字
13	15	16	12000	3	鱼洞	新山村
14	16	11	10400	3	新山村	大坪
15	11	17	2600	3	大坪	李子坝
16	17	18	1100	3	李子坝	牛角沱
17	18	19	2500	3	牛角沱	黄花园
18	19	13	1900	3	黄花园 	较场口
19	15	20	7400	4	鱼洞	大山村
20	20	21	12300	4	大山村	四公里
21	21	12	5200	4	四公里	两路口
22	12	18	1100	4	两路口	牛角沱
23	18	22	3400	4	牛角沱	红旗河沟
24	22	6	5200	4	红旗河沟	重庆北
25	6	23	10300	4	重庆北	翠云
26	23	24	7900	4	翠云	江北机场T2航站楼
27	25	26	3400	5	大石坝	冉家坝
28	26	27	12600	5	冉家坝	园博中心
29	28	26	9600	6	礼嘉	冉家坝	
30	26	22	4100	6	冉家坝	红旗河沟
31	22	29	2600	6	红旗河沟	红土地
32	29	14	7600	6	红土地	小什字
33	14	30	12900	6	小什字	茶园
34	31	32	5800	7	王家庄	中央公园
35	32	24	5000	7	中央公园	江北机场T2航站楼
36	24	33	9400	7	江北机场T2航站楼	 环山公园
37	33	6	9300	7	环山公园	重庆北
38	6	29	2700	7	重庆北	红土地
39	29	34	1100	7	红土地	鲤鱼池
40	35	9	2800	8	重庆图书馆	沙坪坝
41	9	36	6500	8	沙坪坝	体育公园
42	36	26	1100	8	体育公园	冉家坝
43	26	6	6000	8	冉家坝	重庆北
44	6	37	7900	8	重庆北	涂山
45	37	21	7300	8	涂山	四公里
46	21	38	2900	8	四公里	海峡路
47	39	40 	49000	9	万州北	梁平
48 	40	41	49000	9	梁平	垫江
49	41	42	49000	9	垫江	长寿北
50	42	43	49000	9	长寿北	复盛站
51	43	6	49000	9	复盛站	重庆北
